Index	TimeStamp      	ID        	Length    	Data1 	Data2 	Data3 	Data4 	Data5 	Data6 	Data7 	Data8 	Checksum    
244  	6429.421    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
245  	6489.42     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
246  	6499.429    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
247  	6559.43     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
248  	6569.423    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
249  	6629.422    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
250  	6639.43     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
251  	6649.428    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
252  	6659.432    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
253  	6719.432    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
254  	6729.425    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
255  	6739.433    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
256  	6749.43     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
257  	6809.426    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
258  	6819.434    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
259  	6879.439    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
260  	6889.428    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
261  	6949.432    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
262  	6959.436    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
263  	6969.429    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
264  	6979.441    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
265  	7039.437    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
266  	7049.434    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
267  	7059.439    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
268  	7069.432    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
269  	7129.431    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
270  	7139.44     	08        	5           	08	03	01	08	08	00	ff	ff	DB        
271  	7199.644    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
272  	7209.637    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
273  	7269.636    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
274  	7279.648    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
275  	7289.638    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
276  	7299.646    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
277  	7359.646    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
278  	7369.639    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
279  	7379.651    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
280  	7389.64     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
281  	7449.643    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
282  	7459.648    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
283  	7519.65     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
284  	7529.656    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
285  	7589.642    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
286  	7599.65     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
287  	7609.643    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
288  	7619.651    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
289  	7679.655    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
290  	7689.644    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
291  	7699.653    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
292  	7709.646    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
293  	7769.645    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
294  	7779.657    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
295  	7839.655    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
296  	7849.651    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
297  	7909.647    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
298  	7919.655    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
299  	7929.648    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
300  	7939.656    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
301  	7999.656    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
302  	8009.65     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
303  	8019.658    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
304  	8029.651    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
305  	8089.65     	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
306  	8099.659    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
307  	8159.66     	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
308  	8169.289    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
309  	8229.305    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
310  	8239.296    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
311  	8249.294    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
312  	8259.298    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
313  	8319.298    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
314  	8329.322    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
315  	8339.299    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
316  	8349.296    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
317  	8409.292    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
318  	8419.3      	08        	5           	08	03	01	08	08	00	ff	ff	DB        
319  	8479.305    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
320  	8489.294    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
321  	8549.298    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
322  	8559.302    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
323  	8569.295    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
324  	8579.307    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
325  	8639.303    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
326  	8649.3      	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
327  	8659.305    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
328  	8669.298    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
329  	8729.297    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
330  	8739.306    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
331  	8799.307    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
332  	8809.3      	08        	5           	07	03	01	02	07	00	ff	ff	E3        
333  	8869.299    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
334  	8879.311    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
335  	8889.32     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
336  	8899.309    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
337  	8959.309    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
338  	8969.302    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
339  	8979.314    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
340  	8989.303    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
341  	9049.306    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
342  	9059.311    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
343  	9119.313    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
344  	9129.339    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
345  	9189.393    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
